Year,Genre,AvgRating
1990,Action,3.243904761904762
1990,Western,3.4885646687697163
1990,Drama,3.727359732025362
1990,Horror,3.1979010494752624
1990,Animation,3.8086956521739133
1990,Mystery,3.6012965964343597
1990,Documentary,3.9831932773109244
1997,Thriller,3.3286314857838257
1997,Animation,3.5817843866171004
1997,Documentary,3.8688212927756656
1997,Comedy,3.394016957286834
1997,Film-Noir,4.170829170829171
1997,Sci-Fi,3.3829806232699347
1997,Horror,2.9748811948404614
1994,Action,3.263103415827609
1994,Drama,3.7470431354359928
1994,Children's,3.059606656580938
1994,Mystery,3.4003466204506068
1994,Thriller,3.5147097800159024
1994,Fantasy,3.271981776765376
1994,Sci-Fi,3.134749419183538
1994,Adventure,3.451586149699357
1994,Western,3.222507708119219
1991,Documentary,3.04040404040404
1991,Animation,3.765840220385675
1991,Adventure,3.144790257104195
1991,Crime,3.414383561643836
1991,Fantasy,2.6527777777777777
1991,Romance,3.534376918354819
1996,Animation,3.2569856054191364
1996,Musical,3.225301204819277
1996,Crime,3.6484699659992446
1996,War,3.3637782982045277
1996,Film-Noir,3.0
1996,Documentary,4.103015075376884
1998,Adventure,3.0777167947310646
1998,Children's,3.383314020857474
1998,Musical,3.232258064516129
1998,Sci-Fi,3.1386151977324874
1998,Documentary,3.806
1998,Horror,2.7901477832512316
1998,Romance,3.562386511024643
1995,Sci-Fi,3.141554628341833
1995,Children's,3.596620528491821
1995,Thriller,3.6196288659793816
1995,War,3.8971171647712244
1995,Western,3.242884250474383
1992,Documentary,3.880952380952381
1992,Animation,3.948733786287832
1992,Crime,3.5802569523499757
1992,Mystery,3.4226044226044228
1992,Romance,3.488678660049628
2000,Children's,3.279113625648279
2000,Action,3.4562582844158305
2000,Adventure,3.02740408570005
2000,Horror,2.8681214421252372
2000,Comedy,3.393928035982009
2000,Fantasy,2.4508196721311477
1999,Comedy,3.5045447494958895
1999,Sci-Fi,3.4102820341994224
1999,Documentary,3.878205128205128
1999,Romance,3.256688741721854
1999,War,3.606060606060606
1999,Mystery,3.4672578444747613
1999,Horror,3.0147791716789825
1999,Children's,3.657915057915058
1999,Fantasy,3.3858742463393625
1993,Animation,4.046956521739131
1993,Romance,3.7085308056872037
1993,Adventure,3.408353995803929
1993,Western,3.7789661319073082
1993,Documentary,4.043771043771044
1993,Drama,3.7001449575481464
1993,Fantasy,2.8973747016706444
1993,Film-Noir,3.3793103448275863
1990,Children's,2.8906685236768803
1990,Romance,3.413793103448276
1990,Adventure,3.5692182410423454
1990,Crime,3.5602955195424215
1990,Fantasy,2.605873261205564
1990,Film-Noir,3.7774762550881955
1990,Comedy,3.2236116713728653
1990,Thriller,3.47193129451194
1990,Sci-Fi,3.1954931804704487
1997,Musical,3.03248031496063
1997,Crime,3.5780659783429867
1997,War,3.0882244370616463
1997,Children's,2.8423289417764557
1997,Mystery,3.5251304586652017
1997,Drama,3.627189781021898
1997,Fantasy,2.6986301369863015
1997,Adventure,3.1442724458204334
1997,Romance,3.317055123936367
1997,Action,3.168424085278018
1994,Musical,3.8358925143953937
1994,Romance,3.662094455852156
1994,Documentary,4.1262458471760795
1994,Crime,3.8935683222705424
1994,Animation,3.6764953664700926
1994,Comedy,3.3206759345679617
1994,Horror,3.0639777468706537
1994,War,3.686868686868687
1991,Action,3.6248148757610665
1991,War,3.7974683544303796
1991,Comedy,3.353307138179437
1991,Drama,3.740649404027949
1991,Musical,3.715112540192926
1991,Mystery,3.7013838310269485
1991,Sci-Fi,3.7332272003638844
1991,Children's,3.4746019711902956
1991,Thriller,4.073460508701473
1991,Horror,2.166153846153846
1996,Adventure,3.2408491947291362
1996,Sci-Fi,3.1054135338345863
1996,Drama,3.6688338493292054
1996,Romance,3.4102930664760542
1996,Thriller,3.407855855855856
1996,Western,2.9237668161434978
1996,Children's,2.9253086419753087
1996,Horror,3.1403329935440025
1996,Comedy,3.2040610275970383
1996,Mystery,3.5734643734643736
1996,Action,3.1910651920838182
1996,Fantasy,2.8673316708229426
1998,Action,3.4094603748024386
1998,Fantasy,2.8451443569553807
1998,War,3.8964639321074963
1998,Comedy,3.4794514243637535
1998,Film-Noir,3.62217659137577
1998,Drama,3.5557867234371976
1998,Animation,3.5537992235163616
1998,Thriller,3.309744560075686
1998,Crime,3.5675467828761858
1998,Mystery,3.4008429458740017
1998,Western,3.1
1995,Fantasy,3.0813492063492065
1995,Film-Noir,3.5068965517241377
1995,Comedy,3.442913069126401
1995,Animation,3.993894993894994
1995,Drama,3.622660398711587
1995,Crime,3.7177859778597786
1995,Romance,3.4063711125815295
1995,Action,3.2528342245989306
1995,Musical,2.9763313609467454
1995,Documentary,3.751269035532995
1995,Mystery,2.8014911463187326
1995,Horror,2.737384140061792
1995,Adventure,2.914101216398859
1992,Comedy,3.347056672760512
1992,Fantasy,2.5531400966183573
1992,Children's,3.259950248756219
1992,War,3.610290371879776
1992,Musical,3.7510094212651413
1992,Horror,2.955948795180723
1992,Adventure,3.0301697045883094
1992,Action,3.1441974757064672
1992,Drama,3.6141922149500516
1992,Thriller,3.4038671448619993
1992,Western,4.072916666666667
1992,Sci-Fi,3.0055895661431995
2000,Mystery,2.7005758157389637
2000,Musical,3.8636363636363638
2000,Sci-Fi,3.138364779874214
2000,Animation,3.3786209710322317
2000,Romance,3.2027822364901017
2000,Drama,3.607611211108254
2000,War,3.720183486238532
2000,Crime,3.15521327014218
2000,Documentary,3.56
2000,Thriller,3.208319049251514
1999,Adventure,3.3409865470852016
1999,Drama,3.6150596225223093
1999,Musical,3.828125
1999,Animation,3.9503403075371817
1999,Thriller,3.4959053685168335
1999,Western,2.1203585147247117
1999,Crime,3.406367041198502
1999,Action,3.31703900317039
1993,Children's,3.1029411764705883
1993,Horror,3.2888064316635743
1993,Crime,3.454301075268817
1993,Mystery,3.1558333333333333
1993,Thriller,3.4964440321583177
1993,War,4.045438022537259
1993,Comedy,3.4480170796402922
1993,Sci-Fi,3.300235017626322
1993,Action,3.4471141728975887
1993,Musical,3.545774647887324
